run_id,chunking_strategy,retrieval_type,page_retriever,rewriter,reranker,cleaning,embedder_type,embedder_model,chunk_size,overlap,num_chunks,hit@1,hit@3,hit@5,mrr,avg_first_rank,run_dir
20260226_170617,late_chunking,late_chunking_dense,dense,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3333333333333333,0.696969696969697,0.7878787878787878,0.5146464646464646,2.0384615384615383,results\runs\retrieval_20260226_170617
20260226_170742,late_chunking,late_chunking_bm25,bm25,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.30303030303030304,0.6666666666666666,0.7878787878787878,0.4904040404040404,2.1923076923076925,results\runs\retrieval_20260226_170742
20260226_170906,late_chunking,late_chunking_dense,dense,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3333333333333333,0.696969696969697,0.7878787878787878,0.5146464646464646,2.0384615384615383,results\runs\retrieval_20260226_170906
20260226_171032,late_chunking,late_chunking_dense,dense,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3333333333333333,0.696969696969697,0.7878787878787878,0.5146464646464646,2.0384615384615383,results\runs\retrieval_20260226_171032
20260226_171156,late_chunking,late_chunking_hybrid,hybrid,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.30303030303030304,0.696969696969697,0.7878787878787878,0.49949494949494944,2.076923076923077,results\runs\retrieval_20260226_171156
20260226_171209,naive_tokens,dense,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.36363636363636365,0.5151515151515151,0.6060606060606061,0.44696969696969696,1.85,results\runs\retrieval_20260226_171209
20260226_171217,page_index,dense,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.36363636363636365,0.6060606060606061,0.7272727272727273,0.507070707070707,1.9583333333333333,results\runs\retrieval_20260226_171217
20260226_171233,tree_parent_child,dense,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.3333333333333333,0.5151515151515151,0.5151515151515151,0.4090909090909091,1.5294117647058822,results\runs\retrieval_20260226_171233
20260226_171245,naive_tokens,bm25,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.2727272727272727,0.45454545454545453,0.5151515151515151,0.3671717171717172,1.8823529411764706,results\runs\retrieval_20260226_171245
20260226_171253,page_index,bm25,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.15151515151515152,0.5454545454545454,0.696969696969697,0.3565656565656566,2.5652173913043477,results\runs\retrieval_20260226_171253
20260226_171309,tree_parent_child,bm25,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.28484848484848485,2.7777777777777777,results\runs\retrieval_20260226_171309
20260226_171321,naive_tokens,hybrid,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.2727272727272727,0.6060606060606061,0.696969696969697,0.4454545454545455,2.0434782608695654,results\runs\retrieval_20260226_171321
20260226_171330,page_index,hybrid,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3939393939393939,0.696969696969697,0.7575757575757576,0.5388888888888889,1.84,results\runs\retrieval_20260226_171330
20260226_171345,tree_parent_child,hybrid,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.30303030303030304,0.48484848484848486,0.5757575757575758,0.40505050505050505,1.9473684210526316,results\runs\retrieval_20260226_171345
20260226_171357,naive_tokens,hybrid,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.2727272727272727,0.6060606060606061,0.696969696969697,0.4454545454545455,2.0434782608695654,results\runs\retrieval_20260226_171357
20260226_171406,page_index,hybrid,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3939393939393939,0.696969696969697,0.7575757575757576,0.5388888888888889,1.84,results\runs\retrieval_20260226_171406
20260226_171422,tree_parent_child,hybrid,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.30303030303030304,0.48484848484848486,0.5757575757575758,0.40505050505050505,1.9473684210526316,results\runs\retrieval_20260226_171422
20260226_172229,naive_tokens,dense,,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.24242424242424243,0.6060606060606061,0.7878787878787878,0.42626262626262634,2.5384615384615383,results\runs\retrieval_20260226_172229
20260226_172400,page_index,dense,,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3333333333333333,0.696969696969697,0.7575757575757576,0.5101010101010102,1.88,results\runs\retrieval_20260226_172400
20260226_172432,tree_parent_child,dense,,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.30303030303030304,0.5151515151515151,0.5151515151515151,0.3939393939393939,1.588235294117647,results\runs\retrieval_20260226_172432
20260226_173234,naive_tokens,hybrid,,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.24242424242424243,0.6060606060606061,0.7878787878787878,0.42626262626262634,2.5384615384615383,results\runs\retrieval_20260226_173234
20260226_173405,page_index,hybrid,,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3333333333333333,0.696969696969697,0.7575757575757576,0.5101010101010102,1.88,results\runs\retrieval_20260226_173405
20260226_173447,tree_parent_child,hybrid,,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.30303030303030304,0.5151515151515151,0.5151515151515151,0.3939393939393939,1.588235294117647,results\runs\retrieval_20260226_173447
20260226_173505,naive_tokens,hybrid,,hf,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.30303030303030304,0.6060606060606061,0.6666666666666666,0.45303030303030306,1.9090909090909092,results\runs\retrieval_20260226_173505
20260226_173520,page_index,hybrid,,hf,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3939393939393939,0.6666666666666666,0.7575757575757576,0.5414141414141415,1.84,results\runs\retrieval_20260226_173520
20260226_173542,tree_parent_child,hybrid,,hf,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.36363636363636365,0.5151515151515151,0.6060606060606061,0.4505050505050505,1.85,results\runs\retrieval_20260226_173542
20260226_173558,tree_parent_child,dense,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.3333333333333333,0.5151515151515151,0.5151515151515151,0.4090909090909091,1.5294117647058822,results\runs\retrieval_20260226_173558
20260226_173614,tree_parent_child,tree_parent_child,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.3333333333333333,0.5151515151515151,0.5454545454545454,0.4151515151515151,1.7222222222222223,results\runs\retrieval_20260226_173614
20260226_173629,tree_parent_child,tree_parent_child,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.3333333333333333,0.5151515151515151,0.5454545454545454,0.4151515151515151,1.7222222222222223,results\runs\retrieval_20260226_173629
20260226_173645,tree_parent_child,tree_parent_child,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.3333333333333333,0.5151515151515151,0.5454545454545454,0.4151515151515151,1.7222222222222223,results\runs\retrieval_20260226_173645
20260226_173701,tree_parent_child,tree_parent_child,,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.3333333333333333,0.5151515151515151,0.5454545454545454,0.4151515151515151,1.7222222222222223,results\runs\retrieval_20260226_173701
20260226_173722,tree_parent_child,tree_parent_child,,hf,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.30303030303030304,0.5454545454545454,0.5757575757575758,0.4166666666666667,1.736842105263158,results\runs\retrieval_20260226_173722
