run_id,chunking_strategy,retrieval_type,rewriter,reranker,cleaning,embedder_type,embedder_model,chunk_size,overlap,num_chunks,hit@1,hit@3,hit@5,mrr,avg_first_rank,run_dir
20260226_134107,naive_tokens,dense,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.36363636363636365,0.5151515151515151,0.6060606060606061,0.44696969696969696,1.85,results\runs\retrieval_20260226_134107
20260226_134115,page_index,dense,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.36363636363636365,0.6060606060606061,0.7272727272727273,0.507070707070707,1.9583333333333333,results\runs\retrieval_20260226_134115
20260226_134128,naive_tokens,bm25,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.2727272727272727,0.45454545454545453,0.5151515151515151,0.3671717171717172,1.8823529411764706,results\runs\retrieval_20260226_134128
20260226_134138,page_index,bm25,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.15151515151515152,0.5454545454545454,0.696969696969697,0.3565656565656566,2.5652173913043477,results\runs\retrieval_20260226_134138
20260226_134151,naive_tokens,hybrid,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.2727272727272727,0.6060606060606061,0.696969696969697,0.4454545454545455,2.0434782608695654,results\runs\retrieval_20260226_134151
20260226_134202,page_index,hybrid,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3939393939393939,0.696969696969697,0.7575757575757576,0.5388888888888889,1.84,results\runs\retrieval_20260226_134202
20260226_134217,naive_tokens,hybrid,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.2727272727272727,0.6060606060606061,0.696969696969697,0.4454545454545455,2.0434782608695654,results\runs\retrieval_20260226_134217
20260226_134227,page_index,hybrid,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3939393939393939,0.696969696969697,0.7575757575757576,0.5388888888888889,1.84,results\runs\retrieval_20260226_134227
20260226_135210,naive_tokens,dense,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.24242424242424243,0.6060606060606061,0.7878787878787878,0.42626262626262634,2.5384615384615383,results\runs\retrieval_20260226_135210
20260226_135418,page_index,dense,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3333333333333333,0.696969696969697,0.7575757575757576,0.5101010101010102,1.88,results\runs\retrieval_20260226_135418
20260226_140405,naive_tokens,hybrid,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.24242424242424243,0.6060606060606061,0.7878787878787878,0.42626262626262634,2.5384615384615383,results\runs\retrieval_20260226_140405
20260226_140541,page_index,hybrid,none,BAAI/bge-reranker-base,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3333333333333333,0.696969696969697,0.7575757575757576,0.5101010101010102,1.88,results\runs\retrieval_20260226_140541
20260226_140600,naive_tokens,hybrid,hf,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,97,0.30303030303030304,0.6060606060606061,0.6666666666666666,0.45303030303030306,1.9090909090909092,results\runs\retrieval_20260226_140600
20260226_140624,page_index,hybrid,hf,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,15,0.3939393939393939,0.6666666666666666,0.7575757575757576,0.5414141414141415,1.84,results\runs\retrieval_20260226_140624
20260226_140640,tree_parent_child,dense,none,,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,108,0.3333333333333333,0.5151515151515151,0.5151515151515151,0.4090909090909091,1.5294117647058822,results\runs\retrieval_20260226_140640
